"","volcano_name","volcano_number","min_easting","max_easting","min_northing","max_northing","NW_zone","NE_zone","SW_zone","SE_zone","vent_zone","resolution","mean_elevation","grid_name","zone_crossing","equator_crossing"
"1","Agrigan","284160","464327.70988197","262549.426045773","1522314.14024836","2630709.49030625","54","56","54","56","55","10000","0","284160_grid","1","0"
"2","Agung","264020","445344.586087661","230063.492836482","8523577.33029982","9630480.16397955","-49","-51","-49","-51","-50","10000","33","264020_grid","1","0"
"3","Alamagan","284180","481535.866838678","276927.387035435","1392907.87743434","2500864.89681474","54","56","54","56","55","10000","0","284180_grid","1","0"
"4","Ambae","257030","262960.26513017","700896.289547264","7743983.25093281","8850997.51474509","-58","-59","-58","-59","-58","10000","3","257030_grid","1","0"
"5","Ambang","266020","768018.134875273","546608.242937687","9529818.05127437","636136.481425024","50","52","-50","-52","51","10000","85","266020_grid","1","1"
"6","Ambitle","254020","681342.037011021","461538.364857516","8995891.06864587","101730.187781296","55","57","-55","-57","-56","10000","18","254020_grid","1","1"
"7","Ambrym","257040","294762.329956431","731448.719211719","7648708.1580349","8755720.64808123","-58","-59","-58","-59","-59","10000","3","257040_grid","1","0"
"8","Anatahan","284200","463992.545856681","258365.592340994","1254699.95360034","2362673.29027451","54","56","54","56","55","10000","0","284200_grid","1","0"
"9","ArjunoWelirang","263290","779617.564858846","563911.889424894","8591004.92034268","9697903.79257603","-48","-50","-48","-50","-49","10000","34","263290_grid","1","0"
"10","Asuncion","284150","436042.966188759","237488.656119018","1622021.62328726","2731000.40694098","54","56","54","56","55","10000","0","284150_grid","1","0"
"11","Awu","267040","215894.322444213","660990.217261776","9854949.96535892","961415.192731911","51","52","-51","-52","51","10000","52","267040_grid","1","1"
"12","BabuyanClaro","274030","494612.91956145","292316.004212724","1605679.959099","2713785.2280719","50","52","50","52","51","10000","52","274030_grid","1","0"
"13","Bagana","255020","187920.686856197","633068.549042657","8767423.82268736","9874299.60989282","-56","-57","-56","-57","-56","10000","18","255020_grid","1","0"
"14","Bam","251010","368501.892754678","813608.751950926","9046789.98572194","153492.265123442","54","55","-54","-55","-55","10000","215","251010_grid","1","1"
"15","Bamus","252110","414316.200449236","196496.33961877","8871174.72712277","9977891.98002817","-55","-57","-55","-57","-56","10000","81","252110_grid","1","0"
"16","BandaApi","265090","706477.998253668","486939.554450977","8946764.67784357","52751.4593502121","51","53","-51","-53","-52","10000","48","265090_grid","1","1"
"17","Batur","264010","430562.331690722","215530.074239567","8534608.69738938","9641636.33394345","-49","-51","-49","-51","-50","10000","34","264010_grid","1","0"
"18","Biliran","272080","770581.386834515","559150.112301579","721050.063901308","1828491.30643547","50","52","50","52","51","10000","54","272080_grid","1","0"
"19","BillyMitchell","255011","191146.185141763","636297.685571876","8772434.81009899","9879273.27161459","-56","-57","-56","-57","-56","10000","18","255011_grid","1","0"
"20","Bulusan","273010","717973.506839642","506174.579335351","858760.992832124","1965822.78981217","50","52","50","52","51","10000","57","273010_grid","1","0"
"21","Cabalan","272050","191620.37357164","634970.627398712","584300.059068206","1691762.00315788","51","52","51","52","51","10000","50","272050_grid","1","0"
"22","Cagua","273090","512584.526294185","307934.348054249","1461689.34836735","2569336.20578366","50","52","50","52","51","10000","38","273090_grid","1","0"
"23","Camiguin","271080","788496.845424451","574689.702619887","464598.29282599","1571829.31805615","50","52","50","52","51","10000","47","271080_grid","1","0"
"24","CamiguindeBabuyanes","274010","484870.22996624","282018.957164381","1528929.70024579","2637050.60126817","50","52","50","52","51","10000","43","274010_grid","1","0"
"25","Cereme","263170","322923.603139942","767883.781451433","8683920.39083613","9790463.42975446","-48","-49","-48","-49","-49","10000","44","263170_grid","1","0"
"26","Colo","266010","455758.067804312","234049.850370058","9428927.26341817","535227.121464521","50","52","-50","-52","-51","10000","93","266010_grid","1","1"
"27","Dakataua","252040","287870.812281424","733061.699684904","8883459.32522159","9989604.38531546","-55","-56","-55","-56","-56","10000","113","252040_grid","1","0"
"28","DawsonStraitGroup","253060","375766.419961022","819571.309549605","8381733.49432288","9489242.27515109","-55","-56","-55","-56","-56","10000","89","253060_grid","1","0"
"29","Dempo","261230","402199.775118435","183444.003537357","9002131.77873605","108900.022427179","47","49","-47","-49","-48","10000","68","261230_grid","1","1"
"30","Didicas","274020","520533.422454229","317212.310320484","1556251.50133585","2663921.86592639","50","52","50","52","51","10000","45","274020_grid","1","0"
"31","DiengVolcanicComplex","263200","486545.577367532","269233.156488768","8650427.65835081","9756832.15352345","-48","-50","-48","-50","-49","10000","37","263200_grid","1","0"
"32","Dukono","268010","488224.357598428","267190.082851598","9634224.88845097","740310.142203093","51","53","-51","-53","52","10000","34","268010_grid","1","1"
"33","Ebulobo","264100","410173.933431974","196306.876661251","8470733.48818833","9578058.33401787","-50","-52","-50","-52","-51","10000","31","264100_grid","1","0"
"34","Egon","264160","549204.325252146","332905.038883884","8487573.26344632","9593673.09377326","-50","-52","-50","-52","-51","10000","32","264160_grid","1","0"
"35","Epi","257060","322330.988571957","758364.457151893","7600717.46528571","8708319.20635153","-58","-59","-58","-59","-59","10000","3","257060_grid","1","0"
"36","FarallondePajaros","284140","381290.223387993","810329.561624879","1719024.85664952","2828574.50903589","54","55","54","55","55","10000","0","284140_grid","1","0"
"37","Galunggung","263140","284028.003355252","728877.900114402","8644948.26710643","9751162.37583089","-48","-49","-48","-49","-49","10000","45","263140_grid","1","0"
"38","Gamalama","268060","425642.969121929","204301.145571667","9535259.36095797","641792.854139751","51","53","-51","-53","52","10000","28","268060_grid","1","1"
"39","Gamkonora","268040","447803.836342983","226758.643474262","9599502.2858327","705865.668720024","51","53","-51","-53","52","10000","31","268040_grid","1","1"
"40","Gaua","257020","225338.617414715","664764.876503947","7867404.48574055","8974949.66814175","-58","-59","-58","-59","-58","10000","2","257020_grid","1","0"
"41","GedePangrango","263060","823171.404729252","607334.54677415","8697172.28889798","9804333.27281677","-47","-49","-47","-49","-48","10000","50","263060_grid","1","0"
"42","Guguan","284190","483146.156940374","278003.519180069","1360506.32819117","2468393.34893771","54","56","54","56","55","10000","0","284190_grid","1","0"
"43","Guntur","263130","259755.919621071","704639.008164437","8656701.26473163","9763010.09848949","-48","-49","-48","-49","-48","10000","45","263130_grid","1","0"
"44","GunungapiWetar","265030","349826.104719627","794864.06016946","8711683.67432731","9818458.46311752","-51","-52","-51","-52","-52","10000","31","265030_grid","1","0"
"45","Hargy","252100","399850.037195414","182371.169565208","8856658.85364529","9963520.5501221","-55","-57","-55","-57","-56","10000","86","252100_grid","1","0"
"46","Ibu","268030","458904.783038523","237882.793284521","9611479.86422795","717762.468060695","51","53","-51","-53","52","10000","32","268030_grid","1","1"
"47","Ijen","263350","304624.621464722","749189.258327266","8555375.12550342","9661835.96123582","-49","-50","-49","-50","-50","10000","29","263350_grid","1","0"
"48","Iliboleng","264220","636239.865675184","419646.092509917","8524698.10147869","9630573.26585634","-50","-52","-50","-52","-51","10000","38","264220_grid","1","0"
"49","Iliwerung","264250","669903.483093546","453470.754564298","8503707.66135172","9609812.94922579","-50","-52","-50","-52","-51","10000","33","264250_grid","1","0"
"50","Inielika","264090","386732.389816978","831050.670738847","8480143.28616329","9587651.48985526","-50","-51","-50","-51","-51","10000","31","264090_grid","1","0"
"51","Inierie","264080","383420.106792876","827660.140585219","8464128.20704464","9571617.32343913","-50","-51","-50","-51","-51","10000","31","264080_grid","1","0"
"52","Ioto","284120","624635.631519574","431254.247616903","2184083.54873141","3291890.43900283","53","55","53","55","54","10000","0","284120_grid","1","0"
"53","Iraya","274060","501005.232881331","299933.1312821","1710200.5758495","2818375.55079798","50","52","50","52","51","10000","59","274060_grid","1","0"
"54","Isarog","273042","645550.274505643","434611.888543589","957097.514306166","2063547.44083967","50","52","50","52","51","10000","48","273042_grid","1","0"
"55","Iya","264110","460143.495299555","245065.980871676","8463068.03357789","9569912.4843514","-50","-52","-50","-52","-51","10000","31","264110_grid","1","0"
"56","Kaba","261220","345920.01988505","790989.453726466","9057019.43643434","163535.139952221","47","48","-47","-48","-48","10000","66","261220_grid","1","1"
"57","Kadovar","251002","342909.819514552","787993.678183832","9047522.42364561","154016.214157303","54","55","-54","-55","-55","10000","220","251002_grid","1","1"
"58","Kanlaon","272020","621469.13953838","406861.51110816","598275.14780485","1704214.77521868","50","52","50","52","51","10000","52","272020_grid","1","0"
"59","Karangetang","267020","211580.100647072","656463.040471861","9754479.76762914","860963.793063554","51","52","-51","-52","51","10000","50","267020_grid","1","1"
"60","Karkar","251030","495994.17573238","276583.562188849","8932729.34949718","38820.7231165149","54","56","-54","-56","-55","10000","209","251030_grid","1","1"
"61","Kelimutu","264140","480013.527801585","264297.082081047","8476642.6229324","9583293.62836069","-50","-52","-50","-52","-51","10000","32","264140_grid","1","0"
"62","Kelut","263280","750413.981618046","534228.349385045","8569476.28292006","9676139.4289132","-48","-50","-48","-50","-49","10000","35","263280_grid","1","0"
