"","Volcano.Number","Volcano.Name","VEI2_annual_prob","VEI3_annual_prob","VEI4_annual_prob","VEI5_annual_prob","VEI6_annual_prob","VEI7_annual_prob"
"1",284160,"Agrigan",0.001086539,0.00028601,0.000105581,3.02e-05,7.24e-06,6.79e-06
"2",264020,"Agung",0.008223464,0.002164664,0.000799087,0.000228311,5.48e-05,5.14e-05
"3",284180,"Alamagan",0.000489053,0.000128734,4.75e-05,1.36e-05,3.26e-06,3.05e-06
"4",257030,"Ambae",0.017028986,0.002846791,0.000621118,0.000128364,4.14e-05,2.07e-05
"5",254020,"Ambitle",0.000304856,8.02e-05,2.96e-05,8.46e-06,2.03e-06,1.9e-06
"6",257040,"Ambrym",0.222652815,0.053461834,0.025987261,0.012993631,0.006496815,0.001559236
"7",284200,"Anatahan",0.013038469,0.003432119,0.001266968,0.000361991,8.69e-05,8.14e-05
"8",263290,"Arjuno-Welirang",0.006578771,0.001731731,0.000639269,0.000182648,4.38e-05,4.11e-05
"9",284150,"Asuncion",0.003259617,0.00085803,0.000316742,9.05e-05,2.17e-05,2.04e-05
"10",267040,"Awu",0.039472625,0.010390389,0.003835616,0.00109589,0.000263014,0.000246575
"11",274030,"Babuyan Claro",0.022478282,0.005916963,0.00218425,0.000624071,0.000149777,0.000140416
"12",255020,"Bagana",0.088972891,0.044997784,0.0071261,0.001140176,0,0
"13",251010,"Bam",0.083656499,0.02202092,0.008129032,0.002322581,0.000557419,0.000522581
"14",252110,"Bamus",0.006097126,0.001604948,0.000592467,0.000169276,4.06e-05,3.81e-05
"15",265090,"Banda Api",0.028168003,0.006763504,0.003287671,0.001643836,0.000821918,0.00019726
"16",264010,"Batur",0.070420008,0.016908759,0.008219178,0.004109589,0.002054795,0.000493151
"17",272080,"Biliran",0.003211183,0.00084528,0.000312036,8.92e-05,2.14e-05,2.01e-05
"18",255011,"Billy Mitchell",0.000804013,0.000193054,9.38e-05,4.69e-05,2.35e-05,5.63e-06
"19",273010,"Bulusan",0.056486083,0.014868845,0.005488841,0.00156824,0.000376378,0.000352854
"20",272050,"Cabalían",0.003211183,0.00084528,0.000312036,8.92e-05,2.14e-05,2.01e-05
"21",273090,"Cagua",0.003211183,0.00084528,0.000312036,8.92e-05,2.14e-05,2.01e-05
"22",271080,"Camiguin",0.013915127,0.003662882,0.001352155,0.00038633,9.27e-05,8.69e-05
"23",274010,"Camiguin de Babuyanes",0.003211183,0.00084528,0.000312036,8.92e-05,2.14e-05,2.01e-05
"24",263170,"Cereme",0.014802234,0.003896396,0.001438356,0.000410959,9.86e-05,9.25e-05
"25",266010,"Colo",0.008223464,0.002164664,0.000799087,0.000228311,5.48e-05,5.14e-05
"26",252040,"Dakataua",0.005226087,0.001254851,0.000609971,0.000304985,0.000152493,3.66e-05
"27",261230,"Dempo",0.080589943,0.02121371,0.00783105,0.002237443,0.000536986,0.000503425
"28",274020,"Didicas",0.013915127,0.003662882,0.001352155,0.00038633,9.27e-05,8.69e-05
"29",263200,"Dieng Volcanic Complex",0.062778438,0.016525183,0.006100279,0.001742937,0.000418305,0.000392161
"30",268010,"Dukono",0.008223464,0.002164664,0.000799087,0.000228311,5.48e-05,5.14e-05
"31",264100,"Ebulobo",0.014802234,0.003896396,0.001438356,0.000410959,9.86e-05,9.25e-05
"32",264160,"Egon",0.011512849,0.00303053,0.001118721,0.000319635,7.67e-05,7.19e-05
"33",257060,"Epi",0.02753027,0.0072468,0.002675159,0.000764331,0.000183439,0.000171975
"34",284140,"Farallon de Pajaros",0.051067337,0.013442467,0.004962293,0.001417798,0.000340271,0.000319005
"35",263140,"Galunggung",0.011512849,0.00303053,0.001118721,0.000319635,7.67e-05,7.19e-05
"36",268060,"Gamalama",0.129930724,0.034201696,0.012625571,0.003607306,0.000865753,0.000811644
"37",268040,"Gamkonora",0.034538547,0.00909159,0.003356164,0.000958904,0.000230137,0.000215753
"38",257020,"Gaua",0.068825676,0.018116999,0.006687898,0.001910828,0.000458599,0.000429936
"39",263060,"Gede-Pangrango",0.059208938,0.015585583,0.005753425,0.001643836,0.000394521,0.000369863
"40",284190,"Guguan",0.003259617,0.00085803,0.000316742,9.05e-05,2.17e-05,2.04e-05
"41",263130,"Guntur",0.065787708,0.017317314,0.006392694,0.001826484,0.000438356,0.000410959
"42",265030,"Gunungapi Wetar",0.00287575,0.000756984,0.000279441,7.98e-05,1.92e-05,1.8e-05
"43",252100,"Hargy",0.000203986,5.37e-05,1.98e-05,5.66e-06,1.36e-06,1.27e-06
"44",268030,"Ibu",0.008223464,0.002164664,0.000799087,0.000228311,5.48e-05,5.14e-05
"45",263350,"Ijen",0.02389485,0.006289847,0.0023219,0.0006634,0.000159216,0.000149265
"46",264220,"Iliboleng",0.059208938,0.015585583,0.005753425,0.001643836,0.000394521,0.000369863
"47",264250,"Iliwerung",0.03618324,0.009524523,0.003515982,0.001004566,0.000241096,0.000226027
"48",264090,"Inielika",0.006578771,0.001731731,0.000639269,0.000182648,4.38e-05,4.11e-05
"49",264080,"Inierie",7.16e-05,1.88e-05,6.96e-06,1.99e-06,4.77e-07,4.47e-07
"50",284120,"Ioto",0.025048623,0.0060145,0.002923588,0.001461794,0.000730897,0.000175415
"51",274060,"Iraya",0.000817215,0.000215116,7.94e-05,2.27e-05,5.45e-06,5.1e-06
"52",264110,"Iya",0.021381005,0.005628127,0.002077626,0.000593607,0.000142466,0.000133562
"53",261220,"Kaba",0.032893854,0.008658657,0.003196347,0.000913242,0.000219178,0.000205479
"54",272020,"Kanlaon",0.095265099,0.025076655,0.009257058,0.002644874,0.00063477,0.000595097
"55",267020,"Karangetang",0.139798881,0.036799293,0.013584475,0.003881279,0.000931507,0.000873288
"56",251030,"Karkar",0.026985967,0.007103523,0.002622268,0.00074922,0.000179813,0.000168574
"57",264140,"Kelimutu",0.008223464,0.002164664,0.000799087,0.000228311,5.48e-05,5.14e-05
"58",263280,"Kelut",0.053313561,0.014033742,0.005180562,0.00148016,0.000355239,0.000333036
"59",261170,"Kerinci",0.088813406,0.023378374,0.008630137,0.002465753,0.000591781,0.000554795
"60",284110,"Kita-Ioto",0.003111256,0.000818977,0.000302326,8.64e-05,2.07e-05,1.94e-05
"61",262000,"Krakatau",0.11469048,0.027538675,0.013386273,0.006693137,0.003346568,0.000803176
"62",252070,"Krummel-Garbuna-Welcker",0.015210273,0.004003804,0.001478006,0.000422287,0.000101349,9.5e-05
"63",253010,"Lamington",0.000630881,0.000166067,6.13e-05,1.75e-05,4.2e-06,3.94e-06
"64",263320,"Lamongan",0.121707261,0.032037032,0.011826484,0.003378995,0.000810959,0.000760274
"65",252010,"Langila",0.117457105,0.030918262,0.01141349,0.003260997,0.000782639,0.000733724
"66",263260,"Lawu",0.003289385,0.000865866,0.000319635,9.13e-05,2.19e-05,2.05e-05
"67",271031,"Leonard Range",0.000354109,9.32e-05,3.44e-05,9.83e-06,2.36e-06,2.21e-06
"68",264200,"Leroboleng",0.011512849,0.00303053,0.001118721,0.000319635,7.67e-05,7.19e-05
"69",264180,"Lewotobi",0.062498323,0.016451449,0.006073059,0.00173516,0.000416438,0.000390411
"70",264230,"Lewotolok",0.021381005,0.005628127,0.002077626,0.000593607,0.000142466,0.000133562
"71",266100,"Lokon-Empung",0.070721787,0.018616113,0.006872146,0.00196347,0.000471233,0.000441781
"72",252130,"Lolobau",0.00120602,0.000289581,0.000140762,7.04e-05,3.52e-05,8.45e-06
"73",255030,"Loloru",0.000458834,0.000110172,5.36e-05,2.68e-05,1.34e-05,3.21e-06
"74",251050,"Long Island",0.03126556,0.008230041,0.003038123,0.000868035,0.000208328,0.000195308
"75",257050,"Lopevi",0.123886217,0.032610599,0.012038217,0.00343949,0.000825478,0.000773885
"76",266110,"Mahawu",0.021381005,0.005628127,0.002077626,0.000593607,0.000142466,0.000133562
"77",271040,"Makaturing",0.003211183,0.00084528,0.000312036,8.92e-05,2.14e-05,2.01e-05
"78",268070,"Makian",0.016446927,0.004329329,0.001598174,0.000456621,0.000109589,0.00010274
"79",251020,"Manam",0.163932937,0.043152107,0.015929619,0.00455132,0.001092317,0.001024047
"80",261140,"Marapi",0.179271506,0.047189682,0.017420091,0.004977169,0.001194521,0.001119863
"81",271020,"Matutum",0.000895618,0.000235754,8.7e-05,2.49e-05,5.97e-06,5.59e-06
"82",273030,"Mayon",0.175541901,0.046207937,0.01705768,0.004873623,0.001169669,0.001096565
"83",263250,"Merapi",0.138428481,0.036438562,0.013451311,0.003843232,0.000922376,0.000864727
"84",263240,"Merbabu",0.004770698,0.001255792,0.000463576,0.00013245,3.18e-05,2.98e-05
"85",265060,"Nila",0.011512849,0.00303053,0.001118721,0.000319635,7.67e-05,7.19e-05
"86",284170,"Pagan",0.048167746,0.012679207,0.004680535,0.001337296,0.000320951,0.000300892
"87",264150,"Paluweh",0.021381005,0.005628127,0.002077626,0.000593607,0.000142466,0.000133562
"88",263100,"Papandayan",0.011512849,0.00303053,0.001118721,0.000319635,7.67e-05,7.19e-05
"89",271011,"Parker",0.002140789,0.00056352,0.000208024,5.94e-05,1.43e-05,1.34e-05
"90",263040,"Perbakti-Gagak",0.01787532,0.004705325,0.001736973,0.000496278,0.000119107,0.000111663
"91",261030,"Peuet Sague",0.021381005,0.005628127,0.002077626,0.000593607,0.000142466,0.000133562
"92",273083,"Pinatubo",0.009240689,0.002432429,0.000897932,0.000256552,6.16e-05,5.77e-05
"93",252140,"Rabaul",0.041808696,0.010038811,0.004879765,0.002439883,0.001219941,0.000292786
"94",271060,"Ragang",0.021407887,0.005635203,0.002080238,0.000594354,0.000142645,0.00013373
"95",264071,"Ranakah",0.002534247,0.004223744,0.001917808,0.000365297,9.13e-05,0
"96",263340,"Raung",0.167758657,0.044159152,0.01630137,0.004657534,0.001117808,0.001047945
"97",264030,"Rinjani",0.03618324,0.009524523,0.003515982,0.001004566,0.000241096,0.000226027
"98",251070,"Ritter Island",0.030843053,0.008118824,0.002997067,0.000856305,0.000205513,0.000192669
"99",267010,"Ruang",0.031249162,0.008225724,0.00303653,0.00086758,0.000208219,0.000195205
"100",263050,"Salak",0.014802234,0.003896396,0.001438356,0.000410959,9.86e-05,9.25e-05
"101",273060,"San Pablo Volcanic Field",0.001070394,0.00028176,0.000104012,2.97e-05,7.13e-06,6.69e-06
"102",264050,"Sangeang Api",0.047696089,0.012555053,0.004634703,0.001324201,0.000317808,0.000297945
"103",255070,"Savo",0.001984505,0.000522382,0.000192837,5.51e-05,1.32e-05,1.24e-05
"104",263300,"Semeru",0.172692735,0.04545795,0.016780822,0.004794521,0.001150685,0.001078767
"105",265070,"Serua",0.019736313,0.005195194,0.001917808,0.000547945,0.000131507,0.000123288
"106",261020,"Seulawah Agam",0.003289385,0.000865866,0.000319635,9.13e-05,2.19e-05,2.05e-05
"107",255050,"Simbo",0.009118676,0.002400311,0.000886076,0.000253165,6.08e-05,5.7e-05
"108",261080,"Sinabung",0.003289385,0.000865866,0.000319635,9.13e-05,2.19e-05,2.05e-05
"109",261070,"Singkut",0.004934078,0.001298799,0.000479452,0.000136986,3.29e-05,3.08e-05
"110",264270,"Sirung",0.021381005,0.005628127,0.002077626,0.000593607,0.000142466,0.000133562
"111",263180,"Slamet",0.11512849,0.0303053,0.011187215,0.003196347,0.000767123,0.000719178
"112",266030,"Soputan",0.09703687,0.025543039,0.009429224,0.002694064,0.000646575,0.000606164
"113",261120,"Sorikmarapi",0.021381005,0.005628127,0.002077626,0.000593607,0.000142466,0.000133562
"114",250010,"St. Andrew Strait",0.010871178,0.002861623,0.001056369,0.00030182,7.24e-05,6.79e-05
"115",261180,"Sumbing",0.006578771,0.001731731,0.000639269,0.000182648,4.38e-05,4.11e-05
"116",263220,"Sumbing",0.006578771,0.001731731,0.000639269,0.000182648,4.38e-05,4.11e-05
