"","Volcano.Name","Longitude","Latitude","Elevation..m.","wind_north","wind_south","wind_east","wind_west","grid_north","grid_south","grid_east","grid_west"
"261","St. Andrew Strait",147.35,-2.38,270,-2.13,-2.63,147.6,147.1,2.62,-7.38,152.35,142.35
"265","Kadovar",144.588,-3.608,365,-3.36,-3.86,144.84,144.34,1.392,-8.608,149.588,139.588
"266","Bam",144.818,-3.613,685,-3.36,-3.86,145.07,144.57,1.387,-8.613,149.818,139.818
"268","Manam",145.037,-4.08,1807,-3.83,-4.33,145.29,144.79,0.92,-9.08,150.037,140.037
"269","Karkar",145.964,-4.649,1839,-4.4,-4.9,146.21,145.71,0.351,-9.649,150.964,140.964
"271","Long Island",147.12,-5.358,1280,-5.11,-5.61,147.37,146.87,-0.358,-10.358,152.12,142.12
"273","Ritter Island",148.115,-5.519,75,-5.27,-5.77,148.36,147.86,-0.519,-10.519,153.115,143.115
"275","Langila",148.42,-5.525,1330,-5.28,-5.78,148.67,148.17,-0.525,-10.525,153.42,143.42
"278","Dakataua",150.094,-5.094,408,-4.84,-5.34,150.34,149.84,-0.094,-10.094,155.094,145.094
"281","Krummel-Garbuna-Welcker",150.027,-5.416,564,-5.17,-5.67,150.28,149.78,-0.416,-10.416,155.027,145.027
"283","Witori",150.516,-5.576,724,-5.33,-5.83,150.77,150.27,-0.576,-10.576,155.516,145.516
"286","Bamus",151.23,-5.2,2248,-4.95,-5.45,151.48,150.98,-0.2,-10.2,156.23,146.23
"287","Ulawun",151.33,-5.05,2334,-4.8,-5.3,151.58,151.08,-0.05,-10.05,156.33,146.33
"288","Lolobau",151.158,-4.92,858,-4.67,-5.17,151.41,150.91,0.08,-9.92,156.158,146.158
"289","Rabaul",152.203,-4.271,688,-4.02,-4.52,152.45,151.95,0.729,-9.271,157.203,147.203
"290","Tavui",152.2,-4.12,200,-3.87,-4.37,152.45,151.95,0.88,-9.12,157.2,147.2
"292","Lamington",148.15,-8.95,1680,-8.7,-9.2,148.4,147.9,-3.95,-13.95,153.15,143.15
"295","Victory",149.07,-9.2,1925,-8.95,-9.45,149.32,148.82,-4.2,-14.2,154.07,144.07
"297","Waiowa",149.075,-9.57,640,-9.32,-9.82,149.32,148.82,-4.57,-14.57,154.075,144.075
"304","Billy Mitchell",155.225,-6.092,1544,-5.84,-6.34,155.48,154.98,-1.092,-11.092,160.225,150.225
