Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
284096,Nishinoshima,22407,Confirmed Eruption,,,,,2021,,8,,14,,Historical Observations,,2021,,8,,14,,27.247,140.874
284130,Fukutoku-Oka-no-Ba,22408,Confirmed Eruption,,,,,2021,,8,,13,,Historical Observations,>,2021,,8,,19,,24.285,141.481
312030,Pavlof,22411,Confirmed Eruption,,,,,2021,,8,,5,,Historical Observations,>,2021,,8,,19,,55.417,-161.894
284170,Pagan,22409,Confirmed Eruption,,,,,2021,,7,,29,,Historical Observations,,2021,,7,,29,,18.13,145.8
252120,Ulawun,22414,Confirmed Eruption,,,,,2021,,7,,29,,Historical Observations,,2021,,8,,3,,-5.05,151.33
264270,Sirung,22405,Confirmed Eruption,,,,,2021,,7,,21,,Historical Observations,,2021,,7,,21,,-8.508,124.13
273070,Taal,22406,Confirmed Eruption,,,,,2021,,7,,1,,Historical Observations,,2021,,7,,9,,14.002,120.993
261170,Kerinci,22400,Confirmed Eruption,,,,,2021,,5,,31,,Historical Observations,,2021,,6,,13,,-1.697,101.264
311120,Great Sitkin,22401,Confirmed Eruption,,,,,2021,,5,,25,,Historical Observations,>,2021,,8,,19,,52.076,-176.13
263200,Dieng Volcanic Complex,22397,Confirmed Eruption,,,,,2021,,4,,29,,Historical Observations,,2021,,4,,29,,-7.2,109.879
263310,Tengger Caldera,22404,Confirmed Eruption,Bromo,,,,2021,,4,,15,,Historical Observations,,2021,,8,,19,,-7.942,112.95
312070,Veniaminof,22393,Confirmed Eruption,,,,,2021,,2,,28,,Historical Observations,,2021,,4,,5,,56.17,-159.38
311060,Semisopochnoi,22392,Confirmed Eruption,North Cerberus,,,,2021,,2,,2,2,Historical Observations,>,2021,,8,,19,,51.93,179.58
263340,Raung,22383,Confirmed Eruption,,,,,2021,,1,,21,,Historical Observations,,2021,,4,,14,,-8.119,114.056
263250,Merapi,22381,Confirmed Eruption,,1,,,2020,,12,,31,,Historical Observations,>,2021,,8,,19,,-7.54,110.446
263310,Tengger Caldera,22382,Confirmed Eruption,,1,,,2020,,12,,26,,Historical Observations,,2020,,12,,28,,-7.942,112.95
332010,Kilauea,22380,Confirmed Eruption,,0,,,2020,,12,,20,,Historical Observations,,2021,,5,,23,,19.421,-155.287
264230,Lewotolok,22373,Confirmed Eruption,,2,,,2020,,11,,27,,Historical Observations,>,2021,,8,,19,,-8.274,123.508
282060,Kikai,22374,Confirmed Eruption,,1,,,2020,,10,,6,,Historical Observations,,2020,,10,,6,,30.793,130.305
255060,Kavachi,22364,Confirmed Eruption,,0,,,2020,,9,,2,,Historical Observations,,2021,,4,,10,,-8.991,157.979
282050,Kuchinoerabujima,22391,Confirmed Eruption,,1,,,2020,,8,,29,,Historical Observations,,2020,,8,,29,,30.443,130.217
261080,Sinabung,22365,Confirmed Eruption,,3,,,2020,,8,,8,,Historical Observations,>,2021,,8,,19,,3.17,98.392
263340,Raung,22367,Confirmed Eruption,,1,,,2020,,7,,16,,Historical Observations,,2020,,10,,3,,-8.119,114.056
311240,Cleveland,22361,Confirmed Eruption,,3,,,2020,,6,,1,,Historical Observations,,2020,,6,,1,,52.825,-169.944
282060,Kikai,22359,Confirmed Eruption,,1,,,2020,,4,,29,,Historical Observations,,2020,,4,,29,,30.793,130.305
266030,Soputan,22354,Confirmed Eruption,,2,,,2020,,3,,23,,Historical Observations,,2020,,4,,2,,1.112,124.737
255060,Kavachi,22357,Confirmed Eruption,,0,,,2020,,3,,16,,Historical Observations,,2020,,4,,30,,-8.991,157.979
273070,Taal,22344,Confirmed Eruption,,4,,,2020,,1,,12,,Historical Observations,,2020,,1,,22,,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,,3,,,2020,,1,,11,,Historical Observations,,2020,,5,,13,,30.443,130.217
311060,Semisopochnoi,22341,Confirmed Eruption,North Cerberus,1,,,2019,,12,,7,,Historical Observations,,2020,,6,,19,,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,,1,,,2019,,12,,5,,Historical Observations,,2020,,8,,27,,27.247,140.874
311240,Cleveland,22342,Uncertain Eruption,,,,,2019,,11,,7,,Historical Observations,,2019,,12,?,7,,52.825,-169.944
