"","Volcano.Number","Volcano.Name","Longitude","Latitude","Elevation..m.","wind_north","wind_south","wind_east","wind_west"
"611",284160,"Agrigan",145.67,18.77,965,18.78,18.76,145.68,145.66
"402",264020,"Agung",115.508,-8.343,2997,-8.33,-8.35,115.52,115.5
"613",284180,"Alamagan",145.83,17.6,744,17.61,17.59,145.84,145.82
"320",257030,"Ambae",167.835,-15.389,1496,-15.38,-15.4,167.84,167.83
"432",266020,"Ambang",124.42,0.75,1795,0.76,0.74,124.43,124.41
"302",254020,"Ambitle",153.65,-4.08,450,-4.07,-4.09,153.66,153.64
"321",257040,"Ambrym",168.12,-16.25,1334,-16.24,-16.26,168.13,168.11
"618",284200,"Anatahan",145.67,16.35,790,16.36,16.34,145.68,145.66
"391",263290,"Arjuno-Welirang",112.575,-7.733,3339,-7.72,-7.74,112.59,112.56
"610",284150,"Asuncion",145.406,19.671,857,19.68,19.66,145.42,145.4
"443",267040,"Awu",125.447,3.689,1318,3.7,3.68,125.46,125.44
"498",274030,"Babuyan Claro",121.95,19.524,1064,19.53,19.51,121.96,121.94
"305",255020,"Bagana",155.196,-6.137,1855,-6.13,-6.15,155.21,155.19
"266",251010,"Bam",144.818,-3.613,685,-3.6,-3.62,144.83,144.81
"286",252110,"Bamus",151.23,-5.2,2248,-5.19,-5.21,151.24,151.22
"430",265090,"Banda Api",129.881,-4.523,596,-4.51,-4.53,129.89,129.87
"401",264010,"Batur",115.375,-8.242,1717,-8.23,-8.25,115.39,115.36
"477",272080,"Biliran",124.535,11.523,1301,11.53,11.51,124.54,124.52
"304",255011,"Billy Mitchell",155.225,-6.092,1544,-6.08,-6.1,155.23,155.22
"478",273010,"Bulusan",124.056,12.769,1535,12.78,12.76,124.07,124.05
"475",272050,"Cabalían",125.218,10.285,912,10.3,10.28,125.23,125.21
"495",273090,"Cagua",122.123,18.222,1133,18.23,18.21,122.13,122.11
"470",271080,"Camiguin",124.673,9.203,1552,9.21,9.19,124.68,124.66
"496",274010,"Camiguin de Babuyanes",121.86,18.83,712,18.84,18.82,121.87,121.85
"377",263170,"Cereme",108.408,-6.895,3039,-6.88,-6.9,108.42,108.4
"431",266010,"Colo",121.601,-0.162,404,-0.15,-0.17,121.61,121.59
"278",252040,"Dakataua",150.094,-5.094,408,-5.08,-5.1,150.1,150.08
"300",253060,"Dawson Strait Group",150.88,-9.62,500,-9.61,-9.63,150.89,150.87
"356",261230,"Dempo",103.121,-4.016,3142,-4.01,-4.03,103.13,103.11
"497",274020,"Didicas",122.202,19.077,228,19.09,19.07,122.21,122.19
"379",263200,"Dieng Volcanic Complex",109.879,-7.2,2565,-7.19,-7.21,109.89,109.87
"445",268010,"Dukono",127.894,1.693,1229,1.7,1.68,127.9,127.88
"410",264100,"Ebulobo",121.191,-8.817,2096,-8.81,-8.83,121.2,121.18
"414",264160,"Egon",122.455,-8.676,1661,-8.67,-8.69,122.47,122.44
"323",257060,"Epi",168.37,-16.68,833,-16.67,-16.69,168.38,168.36
"606",284140,"Farallon de Pajaros",144.893,20.546,337,20.56,20.54,144.9,144.88
"375",263140,"Galunggung",108.058,-7.25,2168,-7.24,-7.26,108.07,108.05
"452",268060,"Gamalama",127.33,0.8,1715,0.81,0.79,127.34,127.32
"448",268040,"Gamkonora",127.53,1.38,1635,1.39,1.37,127.54,127.52
"318",257020,"Gaua",167.5,-14.27,797,-14.26,-14.28,167.51,167.49
"368",263060,"Gede-Pangrango",106.965,-6.77,3008,-6.76,-6.78,106.98,106.96
"614",284190,"Guguan",145.845,17.307,287,17.32,17.3,145.85,145.84
"373",263130,"Guntur",107.84,-7.143,2249,-7.13,-7.15,107.85,107.83
"424",265030,"Gunungapi Wetar",126.65,-6.642,282,-6.63,-6.65,126.66,126.64
"285",252100,"Hargy",151.1,-5.33,1148,-5.32,-5.34,151.11,151.09
"447",268030,"Ibu",127.63,1.488,1325,1.5,1.48,127.64,127.62
"398",263350,"Ijen",114.242,-8.058,2769,-8.05,-8.07,114.25,114.23
"418",264220,"Iliboleng",123.258,-8.342,1659,-8.33,-8.35,123.27,123.25
"421",264250,"Iliwerung",123.57,-8.53,1018,-8.52,-8.54,123.58,123.56
"409",264090,"Inielika",120.98,-8.73,1559,-8.72,-8.74,120.99,120.97
"408",264080,"Inierie",120.95,-8.875,2245,-8.87,-8.88,120.96,120.94
"596",284120,"Ioto",141.289,24.751,169,24.76,24.74,141.3,141.28
"500",274060,"Iraya",122.01,20.469,1009,20.48,20.46,122.02,122
"483",273042,"Isarog",123.38,13.658,1966,13.67,13.65,123.39,123.37
"411",264110,"Iya",121.641,-8.891,618,-8.88,-8.9,121.65,121.63
"355",261220,"Kaba",102.615,-3.522,1940,-3.51,-3.53,102.62,102.6
"265",251002,"Kadovar",144.588,-3.608,365,-3.6,-3.62,144.6,144.58
"472",272020,"Kanlaon",123.132,10.412,2435,10.42,10.4,123.14,123.12
"441",267020,"Karangetang",125.407,2.781,1797,2.79,2.77,125.42,125.4
"269",251030,"Karkar",145.964,-4.649,1839,-4.64,-4.66,145.97,145.95
"412",264140,"Kelimutu",121.82,-8.77,1639,-8.76,-8.78,121.83,121.81
"389",263280,"Kelut",112.308,-7.93,1731,-7.92,-7.94,112.32,112.3
"351",261170,"Kerinci",101.264,-1.697,3800,-1.69,-1.71,101.27,101.25
"595",284110,"Kita-Ioto",141.284,25.424,792,25.43,25.41,141.29,141.27
"363",262000,"Krakatau",105.423,-6.102,155,-6.09,-6.11,105.43,105.41
"281",252070,"Krummel-Garbuna-Welcker",150.027,-5.416,564,-5.41,-5.43,150.04,150.02
"510",281031,"Kueishantao",121.953,24.841,361,24.85,24.83,121.96,121.94
"292",253010,"Lamington",148.15,-8.95,1680,-8.94,-8.96,148.16,148.14
"395",263320,"Lamongan",113.341,-7.981,1641,-7.97,-7.99,113.35,113.33
"275",252010,"Langila",148.42,-5.525,1330,-5.52,-5.54,148.43,148.41
"387",263260,"Lawu",111.192,-7.625,3265,-7.62,-7.64,111.2,111.18
"464",271031,"Leonard Range",126.047,7.382,1080,7.39,7.37,126.06,126.04
"417",264200,"Leroboleng",122.833,-8.365,1095,-8.36,-8.38,122.84,122.82
"416",264180,"Lewotobi",122.775,-8.542,1703,-8.53,-8.55,122.79,122.76
"419",264230,"Lewotolok",123.508,-8.274,1431,-8.26,-8.28,123.52,123.5
"436",266100,"Lokon-Empung",124.792,1.358,1580,1.37,1.35,124.8,124.78
"288",252130,"Lolobau",151.158,-4.92,858,-4.91,-4.93,151.17,151.15
"307",255030,"Loloru",155.62,-6.52,1887,-6.51,-6.53,155.63,155.61
"271",251050,"Long Island",147.12,-5.358,1280,-5.35,-5.37,147.13,147.11
"322",257050,"Lopevi",168.346,-16.507,1413,-16.5,-16.52,168.36,168.34
"437",266110,"Mahawu",124.865,1.352,1299,1.36,1.34,124.88,124.85
"465",271040,"Makaturing",124.317,7.644,1818,7.65,7.63,124.33,124.31
"456",268070,"Makian",127.4,0.32,1357,0.33,0.31,127.41,127.39
"268",251020,"Manam",145.037,-4.08,1807,-4.07,-4.09,145.05,145.03
"348",261140,"Marapi",100.474,-0.38,2885,-0.37,-0.39,100.48,100.46
"489",273081,"Mariveles",120.482,14.527,1388,14.54,14.52,120.49,120.47
"462",271020,"Matutum",125.07,6.37,2286,6.38,6.36,125.08,125.06
"480",273030,"Mayon",123.685,13.257,2462,13.27,13.25,123.7,123.67
"385",263250,"Merapi",110.446,-7.54,2910,-7.53,-7.55,110.46,110.44
"384",263240,"Merbabu",110.44,-7.454,3118,-7.44,-7.46,110.45,110.43
"386",263251,"Muria",110.88,-6.62,1625,-6.61,-6.63,110.89,110.87
"427",265060,"Nila",129.5,-6.73,781,-6.72,-6.74,129.51,129.49
"612",284170,"Pagan",145.8,18.13,570,18.14,18.12,145.81,145.79
"413",264150,"Paluweh",121.708,-8.32,875,-8.31,-8.33,121.72,121.7
"371",263100,"Papandayan",107.73,-7.32,2665,-7.31,-7.33,107.74,107.72
"461",271011,"Parker",124.892,6.113,1824,6.12,6.1,124.9,124.88
"366",263040,"Perbakti-Gagak",106.7,-6.75,1699,-6.74,-6.76,106.71,106.69
"337",261030,"Peuet Sague",96.289,4.903,2785,4.91,4.89,96.3,96.28
"491",273083,"Pinatubo",120.35,15.13,1486,15.14,15.12,120.36,120.34
"289",252140,"Rabaul",152.203,-4.271,688,-4.26,-4.28,152.21,152.19
"466",271060,"Ragang",124.507,7.691,2790,7.7,7.68,124.52,124.5
"407",264071,"Ranakah",120.52,-8.62,2350,-8.61,-8.63,120.53,120.51
"397",263340,"Raung",114.056,-8.119,3260,-8.11,-8.13,114.07,114.05
"403",264030,"Rinjani",116.47,-8.42,3726,-8.41,-8.43,116.48,116.46
"273",251070,"Ritter Island",148.115,-5.519,75,-5.51,-5.53,148.12,148.11
"440",267010,"Ruang",125.37,2.3,725,2.31,2.29,125.38,125.36
"367",263050,"Salak",106.73,-6.72,2211,-6.71,-6.73,106.74,106.72
"486",273060,"San Pablo Volcanic Field",121.3,14.12,1090,14.13,14.11,121.31,121.29
"405",264050,"Sangeang Api",119.07,-8.2,1912,-8.19,-8.21,119.08,119.06
"314",255070,"Savo",159.82,-9.13,485,-9.12,-9.14,159.83,159.81
"393",263300,"Semeru",112.922,-8.108,3657,-8.1,-8.12,112.93,112.91
"428",265070,"Serua",130.017,-6.312,608,-6.3,-6.32,130.03,130.01
"336",261020,"Seulawah Agam",95.658,5.448,1810,5.46,5.44,95.67,95.65
"308",255050,"Simbo",156.52,-8.292,335,-8.28,-8.3,156.53,156.51
"340",261080,"Sinabung",98.392,3.17,2460,3.18,3.16,98.4,98.38
"339",261070,"Singkut",98.501,3.248,2181,3.26,3.24,98.51,98.49
"423",264270,"Sirung",124.13,-8.508,862,-8.5,-8.52,124.14,124.12
"378",263180,"Slamet",109.208,-7.242,3428,-7.23,-7.25,109.22,109.2
"433",266030,"Soputan",124.737,1.112,1785,1.12,1.1,124.75,124.73
"344",261120,"Sorikmarapi",99.539,0.686,2145,0.7,0.68,99.55,99.53
"261",250010,"St. Andrew Strait",147.35,-2.38,270,-2.37,-2.39,147.36,147.34
"352",261180,"Sumbing",101.728,-2.414,2507,-2.4,-2.42,101.74,101.72
"381",263220,"Sumbing",110.07,-7.384,3371,-7.37,-7.39,110.08,110.06
"380",263210,"Sundoro",109.992,-7.3,3136,-7.29,-7.31,110,109.98
"360",261270,"Suoh",104.27,-5.25,1000,-5.24,-5.26,104.28,104.26
"317",257010,"Suretamatai",167.47,-13.8,921,-13.79,-13.81,167.48,167.46
"487",273070,"Taal",120.993,14.002,311,14.01,13.99,121,120.98
"350",261160,"Talang",100.681,-0.979,2575,-0.97,-0.99,100.69,100.67
"404",264040,"Tambora",118,-8.25,2850,-8.24,-8.26,118.01,117.99
"349",261150,"Tandikat-Singgalang",100.331,-0.39,2854,-0.38,-0.4,100.34,100.32
"439",266130,"Tangkoko-Duasudara",125.185,1.518,1334,1.53,1.51,125.2,125.17
"370",263090,"Tangkuban Parahu",107.6,-6.77,2084,-6.76,-6.78,107.61,107.59
"422",264260,"Tara, Batu",123.585,-7.791,633,-7.78,-7.8,123.6,123.57
"511",281032,"Tatun Volcanic Group",121.553,25.178,1120,25.19,25.17,121.56,121.54
"290",252150,"Tavui",152.2,-4.12,200,-4.11,-4.13,152.21,152.19
"338",261050,"Telong, Bur ni",96.821,4.769,2617,4.78,4.76,96.83,96.81
"394",263310,"Tengger Caldera",112.95,-7.942,2329,-7.93,-7.95,112.96,112.94
"426",265050,"Teon",129.144,-6.976,728,-6.97,-6.99,129.15,129.13
"315",256010,"Tinakula",165.804,-10.386,796,-10.38,-10.4,165.81,165.79
"327",257090,"Traitor's Head",169.238,-18.754,817,-18.74,-18.76,169.25,169.23
"287",252120,"Ulawun",151.33,-5.05,2334,-5.04,-5.06,151.34,151.32
"295",253030,"Victory",149.07,-9.2,1925,-9.19,-9.21,149.08,149.06
"297",253040,"Waiowa",149.075,-9.57,640,-9.56,-9.58,149.08,149.06
"283",252080,"Witori",150.516,-5.576,724,-5.57,-5.59,150.53,150.51
"425",265040,"Wurlali",128.675,-7.125,868,-7.12,-7.14,128.68,128.67
