,Volcano.Name,volcano_number,Longitude,Latitude,Elevation..m.,wind_north,wind_south,wind_east,wind_west,grid_north,grid_south,grid_east,grid_west
611,Agrigan,284160,145.67,18.77,965,18.78,18.76,145.68,145.66,23.77,13.77,150.67,140.67
402,Agung,264020,115.508,-8.343,2997,-8.33,-8.35,115.52,115.5,-3.343,-13.343,120.508,110.508
613,Alamagan,284180,145.83,17.6,744,17.61,17.59,145.84,145.82,22.6,12.6,150.83,140.83
320,Ambae,257030,167.835,-15.389,1496,-15.38,-15.4,167.84,167.83,-10.389,-20.389,172.835,162.835
432,Ambang,266020,124.42,0.75,1795,0.76,0.74,124.43,124.41,5.75,-4.25,129.42,119.42
302,Ambitle,254020,153.65,-4.08,450,-4.07,-4.09,153.66,153.64,0.92,-9.08,158.65,148.65
321,Ambrym,257040,168.12,-16.25,1334,-16.24,-16.26,168.13,168.11,-11.25,-21.25,173.12,163.12
618,Anatahan,284200,145.67,16.35,790,16.36,16.34,145.68,145.66,21.35,11.35,150.67,140.67
391,Arjuno-Welirang,263290,112.575,-7.733,3339,-7.72,-7.74,112.59,112.56,-2.733,-12.733,117.575,107.575
610,Asuncion,284150,145.406,19.671,857,19.68,19.66,145.42,145.4,24.671,14.671,150.406,140.406
443,Awu,267040,125.447,3.689,1318,3.7,3.68,125.46,125.44,8.689,-1.311,130.447,120.447
498,Babuyan Claro,274030,121.95,19.524,1064,19.53,19.51,121.96,121.94,24.524,14.524,126.95,116.95
305,Bagana,255020,155.196,-6.137,1855,-6.13,-6.15,155.21,155.19,-1.137,-11.137,160.196,150.196
266,Bam,251010,144.818,-3.613,685,-3.6,-3.62,144.83,144.81,1.387,-8.613,149.818,139.818
286,Bamus,252110,151.23,-5.2,2248,-5.19,-5.21,151.24,151.22,-0.2,-10.2,156.23,146.23
430,Banda Api,265090,129.881,-4.523,596,-4.51,-4.53,129.89,129.87,0.477,-9.523,134.881,124.881
401,Batur,264010,115.375,-8.242,1717,-8.23,-8.25,115.39,115.36,-3.242,-13.242,120.375,110.375
